decision_id,decision,default_value,why_bucket,where_file_lines,evidence_type,evidence_artifact,verification_command,risks_if_wrong,mitigation
DEC-ARCH-01,1D-CNN-BiLSTM architecture,v1 (~499K params),Reliability,src/train.py:90-200,PAPER,REF_CNN_BILSTM_HAR,pytest tests/test_retraining.py -v,Wrong architecture → poor accuracy on HAR data,Validated with 5-fold CV
DEC-ARCH-02,11 activity classes,NUM_CLASSES=11,Reliability,src/config.py:56,PROJECT_DECISION,dataset definition,python -c "from src.config import NUM_CLASSES; assert NUM_CLASSES==11",Wrong class count → shape mismatch at output layer,Label mapping validated in data_validator
DEC-WINDOW-01,Window size,200 samples (4s @ 50Hz),Reproducibility,src/config.py:53,EMPIRICAL_CALIBRATION,reports/ABLATION_WINDOWING.csv,python -c "from src.config import WINDOW_SIZE; assert WINDOW_SIZE==200",Wrong window → shape mismatch or accuracy drop,Ablation tested 6 configs
DEC-WINDOW-02,Overlap,0.5 (50%),Reproducibility,src/config.py:54,EMPIRICAL_CALIBRATION,reports/ABLATION_WINDOWING.csv,python -c "from src.config import OVERLAP; assert OVERLAP==0.5",Lower overlap → fewer windows; higher → marginal gain + cost,Ablation tested 25% vs 50%
DEC-WINDOW-03,Normalization variant,zscore (StandardScaler),Reproducibility,src/entity/config_entity.py:129,PROJECT_DECISION,training scaler config.json,pytest tests/test_preprocessing.py -v,Wrong scaler → distribution mismatch → accuracy drop,Scaler params stored in config.json
DEC-WINDOW-04,Gravity removal,OFF (False),Reliability,src/entity/config_entity.py:119,EMPIRICAL_CALIBRATION,training analysis,grep enable_gravity_removal src/entity/config_entity.py,Removing gravity shifts distribution vs training data,Model trained WITH gravity
DEC-FREQ-01,Sampling frequency,50 Hz,Reliability,src/entity/config_entity.py:88,PAPER,REF_CNN_BILSTM_HAR,grep target_hz src/entity/config_entity.py,Too low → alias; too high → no benefit for HAR,Nyquist: max motion ~20Hz → 50Hz sufficient
DEC-VALID-01,Max acceleration,50.0 m/s²,Safety,src/entity/config_entity.py:102,PROJECT_DECISION,MPU-6050 sensor spec,pytest tests/test_data_validation.py -v,Too low → rejects valid data; too high → passes bad data,Conservative vs sensor range (±156.8 m/s²)
DEC-VALID-02,Max gyroscope,500.0 °/s,Safety,src/entity/config_entity.py:103,PROJECT_DECISION,MPU-6050 sensor spec,pytest tests/test_data_validation.py -v,Too low → rejects fast motions; too high → passes sensor faults,Conservative vs sensor range (±2000 °/s)
DEC-VALID-03,Max missing ratio,0.05 (5%),Reliability,src/entity/config_entity.py:104,EMPIRICAL_CALIBRATION,data quality analysis,pytest tests/test_data_validation.py -v,Too low → rejects normal gaps; too high → passes bad recordings,5% covers Bluetooth dropout patterns
DEC-INFER-01,Batch size (inference),32,Scalability,src/entity/config_entity.py:143,PROJECT_DECISION,memory profiling,grep batch_size src/entity/config_entity.py,Too large → OOM; too small → slow throughput,Fits in 4GB RAM
DEC-INFER-02,Confidence threshold,0.50,Reliability,src/entity/config_entity.py:144,PROJECT_DECISION,uniform prior analysis,grep confidence_threshold src/entity/config_entity.py,Too low → noise passes; too high → drops valid predictions,5.5× random (1/11 ≈ 0.09)
DEC-MON-01,Confidence warn threshold,0.60,Observability,src/entity/config_entity.py:178,EMPIRICAL_CALIBRATION,reports/THRESHOLD_CALIBRATION.csv,pytest tests/test_threshold_consistency.py -v,Too low → late warning; too high → false alarms,Calibrated across 52 threshold combos
DEC-MON-02,Uncertain pct threshold,30%,Observability,src/entity/config_entity.py:179,EMPIRICAL_CALIBRATION,reports/THRESHOLD_CALIBRATION.csv,pytest tests/test_threshold_consistency.py -v,Too low → false alarm on noisy sessions; too high → misses systemic issues,30% distinguishes noise from systemic
DEC-MON-03,Drift z-score threshold,2.0,Observability,src/entity/config_entity.py:183,EMPIRICAL_CALIBRATION,reports/THRESHOLD_CALIBRATION.csv,pytest tests/test_drift_detection.py -v,Too low → false drift alarms; too high → misses real drift,2.0σ ≈ 95th percentile
DEC-MON-04,Transition rate threshold,50%,Observability,src/entity/config_entity.py:181,EMPIRICAL_CALIBRATION,reports/THRESHOLD_CALIBRATION.csv,pytest tests/test_temporal_metrics.py -v,Too low → flags normal activity transitions; too high → misses instability,50% = random relabeling boundary
DEC-MON-05,Baseline age guard,90 days,Reliability,src/entity/config_entity.py:190,PROJECT_DECISION,operational estimate,pytest tests/test_baseline_age_gauge.py -v,Too short → frequent baseline rebuilds; too long → stale baselines,90 days covers seasonal variation
DEC-TRIG-01,Trigger policy,2-of-3 voting,Governance,src/trigger_policy.py:1-830,EMPIRICAL_CALIBRATION,reports/TRIGGER_POLICY_EVAL.md,pytest tests/test_trigger_policy.py -v,any-of-3 → FAR=0.042; all-of-3 → recall=0.89,500 simulated sessions validate
DEC-TRIG-02,Trigger confidence warn,0.65,Governance,src/entity/config_entity.py:213,EMPIRICAL_CALIBRATION,reports/TRIGGER_POLICY_EVAL.md,pytest tests/test_trigger_policy.py -v,Lower than monitoring (0.60) → trigger too early; higher → trigger too late,Different from monitoring: trigger is more conservative
DEC-TRIG-03,Cooldown,24h (default) / 6h (optimal),Scalability,src/entity/config_entity.py:220,EMPIRICAL_CALIBRATION,reports/TRIGGER_POLICY_EVAL.md,grep cooldown_hours src/entity/config_entity.py,No cooldown → retrain storm; 24h → may delay needed retrain,6h optimal in eval (F1=0.976)
DEC-TRAIN-01,Training epochs,100,Reliability,src/entity/config_entity.py:240,PROJECT_DECISION,training convergence analysis,grep epochs src/entity/config_entity.py,Too few → underfitting; too many → overfitting,Early stopping via MLflow
DEC-TRAIN-02,Learning rate,0.001,Reliability,src/entity/config_entity.py:242,PROJECT_DECISION,Adam optimizer default,grep learning_rate src/entity/config_entity.py,Too high → diverge; too low → slow convergence,Adam adaptive LR
DEC-TRAIN-03,K-fold CV,5,Reliability,src/entity/config_entity.py:243,PAPER,REF_CNN_BILSTM_HAR,grep n_folds src/entity/config_entity.py,3 → high variance; 10 → slow; 5 is standard,Standard for medical/HAR
DEC-ADAPT-01,Default adaptation method,AdaBN,Reliability,src/entity/config_entity.py:248,PAPER,REF_ADABN,pytest tests/test_adabn.py -v,Wrong method → no adaptation or negative transfer,Zero-label; safe for production
DEC-ADAPT-02,AdaBN n_batches,10,Reliability,src/entity/config_entity.py:250,PAPER,REF_ADABN ⚠️ GAP-ADABN-01,grep adabn_n_batches src/entity/config_entity.py,Too few → BN stats not converged; too many → computation wasted,Paper default; needs ablation
DEC-REG-01,Degradation tolerance,0.005 (0.5%),Governance,src/entity/config_entity.py:271,EMPIRICAL_CALIBRATION,retraining experiments,pytest tests/test_model_registration_gate.py -v,0 → rejects normal retraining noise; >1% → passes regressions,Tolerates noise while blocking genuine regression
DEC-REG-02,Auto-deploy,False (require manual),Safety,src/entity/config_entity.py:270,PROJECT_DECISION,governance policy,grep auto_deploy src/entity/config_entity.py,True → bad model auto-deployed; False → requires explicit approval,Manual approval for production
DEC-CAL-01,Temperature scaling init,1.5,Reliability,src/entity/config_entity.py:313,PAPER,REF_TEMP_SCALING,pytest tests/test_calibration.py -v,1.0 → no scaling; too high → over-smoothed,Optimized via NLL minimization
DEC-CAL-02,MC Dropout passes,30,Safety,src/entity/config_entity.py:318,PAPER,REF_MC_DROPOUT,pytest tests/test_calibration.py -v,Too few → noisy uncertainty; too many → slow,10-100 typical; 30 balances cost/quality
DEC-CAL-03,ECE warn threshold,0.10,Safety,src/entity/config_entity.py:322,PAPER,REF_ECE,pytest tests/test_calibration.py -v,Higher → accepts poorly calibrated model,<0.10 = well-calibrated standard
DEC-WASS-01,Wasserstein warn threshold,0.3,Observability,src/entity/config_entity.py:344,EMPIRICAL_CALIBRATION,drift experiments,pytest tests/test_wasserstein_drift.py -v,Too low → false alarms; too high → misses drift,Accuracy unaffected below 0.3
DEC-WASS-02,Min drifted channels warn,2 of 6,Observability,src/entity/config_entity.py:346,PROJECT_DECISION,sensor analysis,pytest tests/test_wasserstein_drift.py -v,1 → single-channel noise triggers; 3+ → misses partial shift,2/6 filters noise while catching real drift
DEC-PL-01,Initial pseudo-label τ,0.95,Reliability,src/entity/config_entity.py:370,PAPER,REF_CURRICULUM,pytest tests/test_curriculum_pseudo_labeling.py -v,Lower → noisy labels from start; higher → too few samples,Start conservative then relax
DEC-PL-02,Final pseudo-label τ,0.80,Reliability,src/entity/config_entity.py:371,PAPER,REF_CURRICULUM ⚠️ GAP-PSEUDO-01,pytest tests/test_curriculum_pseudo_labeling.py -v,Lower → noisy labels degrade model; higher → misses learnable samples,Needs labeled validation to verify error rate
DEC-PL-03,EWC lambda,1000.0,Reliability,src/entity/config_entity.py:382,PAPER,REF_EWC ⚠️ GAP-EWC-01,pytest tests/test_curriculum_pseudo_labeling.py -v,Too low → catastrophic forgetting; too high → frozen model,Paper default; needs ablation
DEC-SENSOR-01,Mirror axes,[1 2 4 5] (Ay Az Gy Gz),Reliability,src/entity/config_entity.py:401,PAPER,REF_SENSOR_INFO_GAIN,pytest tests/test_sensor_placement.py -v,Wrong axes → incorrect mirroring → accuracy drop,Y/Z flip when switching wrist; X is symmetric
DEC-SENSOR-02,Dominant accel threshold,1.2,Reliability,src/entity/config_entity.py:403,EMPIRICAL_CALIBRATION,hand detection experiments,pytest tests/test_sensor_placement.py -v,Too low → false hand switches; too high → misses real switches,Ratio > 1.2 distinguishes dominant hand
DEC-DOCKER-01,Base image,python:3.11-slim,Reproducibility,docker/Dockerfile.inference:1,OFFICIAL_DOC,REF_DOCKER_BEST_PRACTICES,docker compose config --quiet,Full image → large; alpine → compatibility issues,Slim is industry standard
DEC-DOCKER-02,Build type,Single-stage ⚠️,Reproducibility,docker/Dockerfile.inference,PROJECT_DECISION,⚠️ GAP-DOCKER-01,docker compose build --dry-run,Larger image than multi-stage,Plan: convert to multi-stage
DEC-PROM-01,Inference scrape interval,10s,Observability,config/prometheus.yml,PROJECT_DECISION,latency requirements,curl http://localhost:9090/api/v1/targets,Too short → overhead; too long → late detection,10s for inference; 30s for training
DEC-CI-01,CI platform,GitHub Actions,Maintainability,.github/workflows/ci-cd.yml,OFFICIAL_DOC,REF_GITHUB_ACTIONS,gh workflow list,Jenkins → self-hosted overhead,Native to GitHub; free for public repos
