Number,Reading Order,Priority,Topic,Paper Title,Authors/Year,Link / Source,Relevance / Notes,Read Category,Thesis Section
1.0,1.0,Priority 1: Most Important,1.8 Multi-stage Pipeline,"A Multi-Stage, RAG-Enhanced Pipeline for Generating Longitudinal, Clinically Actionable Mental Health Reports from Wearable Sensor Data","U. Oleh et al., 2025",EHB_2025_71.pdf (Provided),[READ #1] This is the core 'what' of your thesis. It describes the complete end-to-end vision and architecture.,Must read,System Architecture: Multi‑Stage HAR → RAG‑LLM Pipeline
2.0,2.0,Priority 1: Most Important,1.3 Model Architectures (HAR),Recognition of Anxiety-Related Activities using 1DCNNBILSTM on Sensor Data from a Commercial Wearable Device,"U. Oleh & R. Obermaisser, 2025",ICTH_16.pdf (Provided),[READ #2] This is the core 'how' for the HAR component. It details the 1D-CNN-BiLSTM model and the 'lab-to-life' problem.,Must read,Methods: HAR Model Architectures (CNN/BiLSTM etc.)
3.0,3.0,Priority 1: Most Important,1.1 Wearable Sensing & Mental Health,ADAM-sense: Anxiety-displaying activities recognition by motion sensors,"N. Khan et al., 2021",https://doi.org/10.1016/j.pmcj.2021.101485,"[READ #3] The foundational dataset your HAR model is based on. Essential to understand its inputs, outputs, and limitations.",Must read,Background & Literature: Wearables + Mental Health
4.0,4.0,Priority 1: Most Important,1.1 Wearable Sensing & Mental Health,Designing a Clinician-Centered Wearable Data Dashboard (CarePortal): Participatory Design Study,"S. Sadhu et al., 2023",https://doi.org/10.2196/46866,"[READ #4] This is the 'why' and 'for whom'. It explains the problem of clinician workflow integration, which your RAG-LLM pipeline solves.",Must read,Background & Literature: Wearables + Mental Health
5.0,5.0,Priority 1: Most important,1.10 Governance & Ethics,Retrieval-Augmented Generation (RAG) in Healthcare: A Comprehensive Review,"F. Neha et al., 2025",https://doi.org/10.3390/ai6090226,[READ #5] The core 'how' for your LLM component. A full review of the RAG technique you are using.,Must read,Background & Literature: Wearables + Mental Health
6.0,6.0,Priority 1: Most Important,1.10 Governance & Ethics,Evaluating large language models on medical evidence summarization,"L. Tang et al., 2023",https://doi.org/10.1038/s41746-023-00896-7,[READ #6] Critical context for *why* RAG is necessary. Discusses LLM 'hallucinations' and factual inconsistency in medicine.,Must read,Background & Literature: Wearables + Mental Health
7.0,7.0,Priority 1: Most Important,1.3 Model Architectures (HAR),Domain adaptation for inertial measurement unit-based human activity recognition: A survey,"A. Chakma et al., 2023",https://arxiv.org/abs/2304.06489,[READ #7] This survey defines your core 'problem statement': the 'lab-to-life' gap and domain shift for IMU sensors.,Must read,Methods: HAR Model Architectures (CNN/BiLSTM etc.)
8.0,8.0,Priority 1: Most Important,1.3 Model Architectures (HAR),Transfer learning in human activity recognition: A survey,"S.G. Dhekane et al., 2024",https://arxiv.org/html/2401.10185v1,"[READ #8] This survey details your 'solution' to the problem: Transfer Learning, which is what you did by fine-tuning the ADAMSense model.",Must read,Methods: HAR Model Architectures (CNN/BiLSTM etc.)
9.0,9.0,Priority 1: Most Important,1.3 Model Architectures (HAR),Deep learning for sensor-based activity recognition: A survey,"J. Wang et al., 2019",https://doi.org/10.1016/j.patrec.2018.02.010,[READ #9] A foundational survey on DL for HAR. Establishes the 'state-of-the-art' that your 1D-CNN-BiLSTM model builds upon.,Must read,Methods: HAR Model Architectures (CNN/BiLSTM etc.)
10.0,10.0,Priority 1: Most Important,1.5 Experiment Tracking,machine learning operations: a survey on MLOps,"N. Hewage & D. Meedeniya, 2022",https://arxiv.org/pdf/2202.10169.pdf,[READ #10] The best starting point for your MLOps chapter. A broad survey covering the entire lifecycle.,Must read,MLOps Chapter: Experiment Tracking & Lifecycle
11.0,11.0,Priority 1: Most Important,1.5 Experiment Tracking,MLOps for Wearable-based Human Activity Recognition,"R. Biswas et al., 2024",https://arxiv.org/abs/2402.01733,[READ #11] Narrows the MLOps survey specifically to your domain (Wearable HAR). Highly relevant.,Must read,MLOps Chapter: Experiment Tracking & Lifecycle
12.0,12.0,Priority 1: Most Important,1.5 Experiment Tracking,MLflow vs DVC: Comparative Study for ML Experiment Tracking,"B. Lemon & S. Ong, 2023",https://arxiv.org/abs/2305.18764,[READ #12] Your first core MLOps tool comparison. Read this to justify your choice of experiment tracking tool.,Must read,MLOps Chapter: Experiment Tracking & Lifecycle
13.0,13.0,Priority 1: Most Important,1.7 Model Serving API,Building Production ML APIs with FastAPI and Flask,"R. Parikh et al., 2022",https://arxiv.org/abs/2207.01814,[READ #13] Your second core MLOps tool comparison. Read this to justify your choice of serving framework.,Must read,MLOps Chapter: Deployment & Model Serving APIs
14.0,14.0,Priority 1: Most Important,1.6 Environment Reproducibility,Enabling End-To-End Machine Learning Replicability,"J. Gardner et al., 2018",https://arxiv.org/pdf/1806.05208.pdf,[READ #14] Your core paper on reproducibility. Justifies the use of Docker/containers for the entire pipeline.,Must read,MLOps Chapter: Reproducibility & Environments (Docker/Conda)
15.0,15.0,Priority 1: Most Important,1.3 Model Architectures (HAR),Deep learning in human activity recognition with wearable sensors: A review on advances,"S. Zhang et al., 2022",https://doi.org/10.3390/s22041476,"Another excellent, more recent review on DL models for wearable HAR. Good for literature review.",Must read,Methods: HAR Model Architectures (CNN/BiLSTM etc.)
16.0,16.0,Priority 1: Most Important,1.1 Wearable Sensing & Mental Health,A Survey on Wearable Sensors for Mental Health Monitoring,"N. Gomes et al., 2023",https://doi.org/10.3390/s23031330,A key review paper connecting your two main fields (wearables and mental health). Perfect for your introduction.,Must read,Background & Literature: Wearables + Mental Health
17.0,17.0,Priority 1: Most Important,1.10 Governance & Ethics,In-context learning for zero-shot medical report generation,"R. Liu et al., 2024",https://doi.org/10.1145/3359217,"Another key paper on the LLM side, focusing on generating medical reports.",Must read,Background & Literature: Wearables + Mental Health
18.0,18.0,Priority 1: Most Important,1.10 Governance & Ethics,Enhancing Health Information Retrieval with RAG by Prioritizing Topical Relevance and Factual Accuracy,"R. Uapadhyay & M. Viviani, 2025",https://arxiv.org/abs/2502.04666,"A second paper on RAG, specifically for *health information*, emphasizing factual accuracy. Very important.",Must read,Background & Literature: Wearables + Mental Health
19.0,19.0,Priority 1: Most Important,1.5 Experiment Tracking,MLOps for Human Activity Recognition: A Systematic Review,"A. Al-Naffakh et al., 2025",https://ieeexplore.ieee.org/document/11076747,A systematic review *specifically* on MLOps for HAR. This is a must-read for your MLOps chapter.,Must read,MLOps Chapter: Experiment Tracking & Lifecycle
20.0,20.0,Priority 1: Most Important,1.3 Model Architectures (HAR),Deep CNN-LSTM With Self-Attention Model for HAR,"M.A. Khatun et al., 2022",https://pmc.ncbi.nlm.nih.gov/articles/PMC9252338/,"A good example of a hybrid CNN-LSTM architecture, similar to your own model. Good for comparison.",Must read,Methods: HAR Model Architectures (CNN/BiLSTM etc.)
21.0,21.0,Priority 1: Most Important,1.1 Wearable Sensing & Mental Health,Wearable Artificial Intelligence for Detecting Anxiety: Systematic Review and Meta-Analysis,"A. Abd-Alrazaq et al., 2023",https://doi.org/10.2196/48754,A key systematic review on your exact topic (Wearable AI for Anxiety).,Must read,Background & Literature: Wearables + Mental Health
22.0,22.0,Priority 2: Important,1.5 Experiment Tracking,MLOps-Based Framework for Human Activity Recognition,"J. Joseph et al., 2023",https://arxiv.org/abs/2306.01110,(Priority 2) The next set of papers to read. These detail specific MLOps implementations for HAR.,Nice to read,MLOps Chapter: Experiment Tracking & Lifecycle
23.0,23.0,Priority 2: Important,1.5 Experiment Tracking,An MLOps Framework for Human Activity Recognition,"D. G. T. D'Apolito et al., 2024",https://arxiv.org/pdf/2408.04187,Another MLOps for HAR framework. Good to compare/contrast.,Nice to read,MLOps Chapter: Experiment Tracking & Lifecycle
24.0,24.0,Priority 2: Important,1.5 Experiment Tracking,End-to-End MLOps Platform for HAR Solution,"Y. Lu et al., 2024",https://arxiv.org/pdf/2406.00036,A third MLOps for HAR framework. Reading these three gives you a full picture.,Nice to read,MLOps Chapter: Experiment Tracking & Lifecycle
25.0,25.0,Priority 2: Important,1.2 Data Preprocessing Pipeline,ML-EX-SW: an MLOps-based framework for experiments with sliding windows in HAR,"P. B. S. M. da Silva et al., 2024",https://www.frontiersin.org/journals/computer-science/articles/10.3389/fcomp.2024.1399395/full,This MLOps paper is hyper-specific to your *preprocessing* step (sliding windows). Very useful.,Nice to read,Methods: Data Preprocessing & Sliding Window Pipeline
26.0,26.0,Priority 2: Important,1.4 Hyperparameter Optimization,A Comparative study of Hyper-parameter Optimization strategies for Human Activity Recognition,"N. K. Singh et al., 2022",https://arxiv.org/pdf/2208.06411,A specific paper on HPO for HAR. Good for the 'Training' section of your MLOps chapter.,Nice to read,Methods: Training & Hyperparameter Optimization
27.0,27.0,Priority 2: Important,1.9 Monitoring & Drift,Large Language Models Memorize Sensor Datasets!,"H. Wang et al., 2024",https://arxiv.org/pdf/2406.05900.pdf,"This paper covers 'Drift' and 'Monitoring', a key part of the MLOps lifecycle.",Nice to read,"MLOps Chapter: Monitoring, Drift & Continual Learning"
28.0,28.0,Priority 2: Important,1.6 Environment Reproducibility,Toward Reusable Science with Readable Code and Data,"L. Bahaidarah et al., 2021",https://arxiv.org/pdf/2109.10387.pdf,"A second paper on reproducibility, discusses Docker and Conda. Complements the first Docker paper.",Nice to read,MLOps Chapter: Reproducibility & Environments (Docker/Conda)
29.0,29.0,Priority 2: Important,1.5 Experiment Tracking,MLDev: Data Science Experiment Automation and Reproducibility,"A. Khritankov et al., 2021",https://arxiv.org/pdf/2107.12322.pdf,"Compares DVC and MLFlow, which is one of your key tool decisions.",Nice to read,MLOps Chapter: Experiment Tracking & Lifecycle
30.0,30.0,Priority 2: Important,1.5 Experiment Tracking,MLOps for Data-Centric AI: A Survey,"Z. Zhang et al., 2023",https://arxiv.org/pdf/2303.06269,A useful survey that connects MLOps to data versioning (like DVC).,Nice to read,MLOps Chapter: Experiment Tracking & Lifecycle
31.0,31.0,Priority 2: Important,1.7 Model Serving API,LLM Chatbot-Creation: FastAPI/Flask Comparison,"S. Wang et al., 2025",https://www.arxiv.org/pdf/2509.13326.pdf,"A second paper comparing FastAPI and Flask, this one specifically for LLMs. Highly relevant.",Nice to read,MLOps Chapter: Deployment & Model Serving APIs
32.0,32.0,Priority 2: Important,1.8 Multi-stage Pipeline,Transforming Wearable Data into Health Insights,"T. Wang et al., 2024",https://arxiv.org/html/2406.06464v3,Another example of a multi-stage pipeline using LLMs to get insights from wearable data.,Nice to read,System Architecture: Multi‑Stage HAR → RAG‑LLM Pipeline
33.0,33.0,Priority 2: Important,1.1 Wearable Sensing & Mental Health,"Real-Time Stress Monitoring, Detection, and Management via Smartwatch","A. Ta et al., 2025",https://arxiv.org/pdf/2505.15974.pdf,A paper on real-time *stress* monitoring. Good parallel to your *anxiety* monitoring.,Nice to read,Background & Literature: Wearables + Mental Health
34.0,34.0,Priority 2: Important,1.10 Governance & Ethics,Scientific Evidence for Clinical Text Summarization Using Large Language Models: Scoping Review,"D. Bednarczyk et al., 2025",https://doi.org/10.2196/68998,Another review on LLMs for clinical text summarization. Good for the RAG chapter.,Nice to read,Background & Literature: Wearables + Mental Health
35.0,35.0,Priority 2: Important,1.1 Wearable Sensing & Mental Health,A State-of-the-Art Review of Computational Models for Digital Behavioral Phenotyping,"D. S. Barron et al., 2024",https://arxiv.org/html/2407.21665v1,"A high-level review of 'digital phenotyping', which is the academic term for your topic.",Nice to read,Background & Literature: Wearables + Mental Health
36.0,36.0,Priority 2: Important,1.3 Model Architectures (HAR),A Close Look into Human Activity Recognition Models,"W.Z. Tee et al., 2022",https://arxiv.org/pdf/2204.13589.pdf,"Good paper comparing BiLSTM, CNN, and hybrids for HAR. Supports your model choice.",Nice to read,Methods: HAR Model Architectures (CNN/BiLSTM etc.)
37.0,37.0,Priority 2: Important,1.3 Model Architectures (HAR),Human Activity Recognition using Multi-Head CNN followed by LSTM,"W. Ahmad et al., 2020",https://arxiv.org/abs/2003.06327,"Another specific hybrid model paper, good for comparison.",Nice to read,Methods: HAR Model Architectures (CNN/BiLSTM etc.)
38.0,38.0,Priority 2: Important,1.3 Model Architectures (HAR),Evaluating BiLSTM and CNN+GRU Approaches for Human Activity Recognition,"A. Wakili et al., 2025",https://arxiv.org/abs/2506.11165,Another good paper for comparing sequential models for HAR.,Nice to read,Methods: HAR Model Architectures (CNN/BiLSTM etc.)
39.0,39.0,Priority 2: Important,1.3 Model Architectures (HAR),A foundation model for human activity recognition using wearable sensors,"T. Tang et al., 2024",https://www.nature.com/articles/s41746-024-01091-y,An alternative approach (foundation models) to your problem. Important to be aware of.,Nice to read,Methods: HAR Model Architectures (CNN/BiLSTM etc.)
40.0,40.0,Priority 2: Important,1.1 Wearable Sensing & Mental Health,SensorLM: Learning the Language of Wearable Sensors,"H. Liu et al., 2024",https://arxiv.org/html/2506.09108v1,Another foundation model paper. Good for 'future work' or 'alternatives' section.,Nice to read,Background & Literature: Wearables + Mental Health
41.0,41.0,Priority 2: Important,1.1 Wearable Sensing & Mental Health,Foundation Models of Behavioral Data from Wearables,"O. Foryciarz et al., 2024",https://arxiv.org/html/2507.00191v1,Another foundation model paper. Read one of these to understand the alternative approach.,Nice to read,Background & Literature: Wearables + Mental Health
42.0,42.0,Priority 2: Important,1.9 Monitoring & Drift,Reproducible workflow for online AI in digital health,"S. Ghosh et al., 2025",https://arxiv.org/abs/2509.13499,"Connects reproducibility, monitoring, and continual learning. Good for MLOps chapter.",Nice to read,"MLOps Chapter: Monitoring, Drift & Continual Learning"
43.0,43.0,Priority 2: Important,1.4 Hyperparameter Optimization,Self-supervised Learning for Fast and Scalable Time Series Hyper-parameter Tuning,"P. Zhang et al., 2021",https://arxiv.org/abs/2102.05740,"Covers HPO for time series, very relevant.",Nice to read,Methods: Training & Hyperparameter Optimization
44.0,44.0,Priority 2: Important,1.6 Environment Reproducibility,An AI-native Runtime for Multi-Wearable Environments,"H. Kim et al., 2021",https://arxiv.org/html/2403.17863v1,"Discusses MLOps, deployment, and containers for wearables.",Nice to read,MLOps Chapter: Reproducibility & Environments (Docker/Conda)
45.0,45.0,Priority 2: Important,1.2 Data Preprocessing Pipeline,A Multi-Task Deep Learning Approach for Sensor-based HAR and Segmentation,"F. Duan et al., 2023",https://arxiv.org/abs/2303.11100,"Covers segmentation (windowing), a key preprocessing step.",Nice to read,Methods: Data Preprocessing & Sliding Window Pipeline
46.0,46.0,Priority 2: Important,1.2 Data Preprocessing Pipeline,Masked Video and Body-worn IMU Autoencoder for Egocentric Action Recognition,"Z. Li et al., 2019",https://arxiv.org/html/2407.06628v1,"Details IMU preprocessing, windowing, and normalization. Good for methods section.",Nice to read,Methods: Data Preprocessing & Sliding Window Pipeline
47.0,47.0,Priority 2: Important,1.3 Model Architectures (HAR),Deep Learning for Sensor-Based Human Activity Recognition: A Survey,"J. Wang et al., 2021",https://pmc.ncbi.nlm.nih.gov/articles/PMC7889722/,A comprehensive survey on DL models for HAR.,Nice to read,Methods: HAR Model Architectures (CNN/BiLSTM etc.)
48.0,48.0,Priority 2: Important,1.1 Wearable Sensing & Mental Health,Leveraging Wearable Sensor Data and Machine Learning for Mental Health Assessment: A Systematic Review,"J. Joseph et al., 2023",https://www.mdpi.com/2224-2708/13/1/5,A systematic review of your main topic. Good for introduction.,Nice to read,Background & Literature: Wearables + Mental Health
49.0,49.0,Priority 2: Important,1.1 Wearable Sensing & Mental Health,Using Data From Wearable Sensors and Machine Learning to Monitor Mental Health: A Systematic Review,"S. Sadeghi et al., 2022",https://medinform.jmir.org/2022/2/e33063/PDF,Another systematic review. Pick the best one for your intro.,Nice to read,Background & Literature: Wearables + Mental Health
50.0,50.0,Priority 2: Important,1.3 Model Architectures (HAR),A systematic review on human activity recognition using smartphones,"Al-Naffakh et al., 2023",https://pmc.ncbi.nlm.nih.gov/articles/PMC10682927/,"A review focused on smartphones, but the models (CNN, LSTM) are the same.",Nice to read,Methods: HAR Model Architectures (CNN/BiLSTM etc.)
51.0,51.0,Priority 2: Important,1.3 Model Architectures (HAR),Advancements in Wearable Sensor-Based Human Activity Recognition: A Review of Deep Learning and MLOps,"S. H. Lee et al., 2024",https://www.mdpi.com/1424-8220/24/19/6322,Excellent paper connecting your two key areas: DL models for HAR and MLOps.,Nice to read,Methods: HAR Model Architectures (CNN/BiLSTM etc.)
52.0,53.0,Priority 2: Important,1.10 Governance & Ethics,I-ETL: Interoperability-aware health data pipeline,"N. Barret et al., 2025",https://arxiv.org/html/2509.22351v1,"Discusses ETL, metadata, and federated learning, all relevant to governance.",Nice to read,Background & Literature: Wearables + Mental Health
53.0,54.0,Priority 3: Good,1.3 Model Architectures (HAR),A review on human activity recognition using sensors,"Z. Zhang et al., 2022",https://ieeexplore.ieee.org/document/9781408,"(Priority 3) These papers are good for general context or citing specific, minor points.",Nice to read,Methods: HAR Model Architectures (CNN/BiLSTM etc.)
54.0,55.0,Priority 3: Good,1.3 Model Architectures (HAR),A Lightweight Human Activity Recognition Framework Using IMU Sensors,"Y. You et al., 2024",https://ieeexplore.ieee.org/document/10551003,"A paper on 'lightweight' models, relevant for on-device deployment.",Nice to read,Methods: HAR Model Architectures (CNN/BiLSTM etc.)
55.0,56.0,Priority 3: Good,1.5 Experiment Tracking,An MLOps-based semi-supervised learning framework for HAR with limited labeled data,"H. Abdella et al., 2025",https://arxiv.org/abs/2503.07649,"MLOps for HAR, but focused on semi-supervised learning, which is a side-topic for you.",Nice to read,MLOps Chapter: Experiment Tracking & Lifecycle
56.0,57.0,Priority 3: Good,1.3 Model Architectures (HAR),HAR-C-S-F: A Novel Deep Learning Model for Human Activity Recognition,"M. S. El-Din et al., 2023",https://arxiv.org/pdf/2305.02474,A specific DL model for HAR. Good as one of many examples.,Nice to read,Methods: HAR Model Architectures (CNN/BiLSTM etc.)
57.0,58.0,Priority 3: Good,1.3 Model Architectures (HAR),Human Activity Recognition (HAR) using ML and DL,"S. D. Khot et al., 2024",https://www.ijfmr.com/research-paper.php?id=37358,"A general overview of ML/DL for HAR. Likely too high-level, but good for a basic definition.",Nice to read,Methods: HAR Model Architectures (CNN/BiLSTM etc.)
58.0,59.0,Priority 3: Good,1.6 Environment Reproducibility,"Building Flexible, Scalable ML-ready Multimodal Medical Datasets","arXiv, 2023",https://arxiv.org/html/2310.01438v2,Relevant to data preprocessing and containerization.,Nice to read,MLOps Chapter: Reproducibility & Environments (Docker/Conda)
59.0,60.0,Priority 3: Good,1.5 Experiment Tracking,Leveraging MIMIC Datasets for Better Digital Health,"arXiv, 2024",https://arxiv.org/html/2506.12808v1,"About ETL and reproducibility, but on a different dataset (MIMIC).",Nice to read,MLOps Chapter: Experiment Tracking & Lifecycle
60.0,61.0,Priority 3: Good,1.4 Hyperparameter Optimization,A Unified Hyperparameter Optimization Pipeline for Transformer-Based Time Series,"J. Xu et al., 2025",https://arxiv.org/abs/2501.01394,"HPO paper, but for Transformers, not your CNN-BiLSTM. Still, the pipeline ideas are relevant.",Nice to read,Methods: Training & Hyperparameter Optimization
61.0,62.0,Priority 3: Good,1.4 Hyperparameter Optimization,A Universal Time Series Motion Recognition Pipeline,"arXiv, 2025",https://arxiv.org/html/2502.15228v1,Discusses automated HPO.,Nice to read,Methods: Training & Hyperparameter Optimization
62.0,63.0,Priority 3: Good,1.3 Model Architectures (HAR),"CNNs, RNNs and Transformers in Human Action Recognition","arXiv, 2024",https://arxiv.org/html/2407.06162v2,"A survey that includes Transformers, an alternative to your model.",Nice to read,Methods: HAR Model Architectures (CNN/BiLSTM etc.)
63.0,64.0,Priority 3: Good,1.3 Model Architectures (HAR),Analyzing Wearable Accelerometer and Gyroscope Data with Deep Learning,"arXiv, 2023",https://arxiv.org/html/2310.02011v3,Another DL model paper.,Nice to read,Methods: HAR Model Architectures (CNN/BiLSTM etc.)
64.0,65.0,Priority 3: Good,1.3 Model Architectures (HAR),Human Activity Recognition Using Tools of Convolutional Deep Learning,"M.M. Islam et al., 2022",https://arxiv.org/pdf/2202.03274.pdf,Another DL model paper.,Nice to read,Methods: HAR Model Architectures (CNN/BiLSTM etc.)
65.0,66.0,Priority 3: Good,1.2 Data Preprocessing Pipeline,Toward Foundation Model for Multivariate Wearable Sensing,"arXiv, 2024",https://arxiv.org/html/2412.09758v2,Preprocessing for foundation models. Secondary relevance.,Nice to read,Methods: Data Preprocessing & Sliding Window Pipeline
66.0,67.0,Priority 3: Good,1.2 Data Preprocessing Pipeline,LSM-2: Learning from Incomplete Wearable Sensor Data,"arXiv, 2025",https://arxiv.org/html/2506.05321v1,About handling *missing* data. Could be relevant if you had data gaps.,Nice to read,Methods: Data Preprocessing & Sliding Window Pipeline
67.0,68.0,Priority 3: Good,1.1 Wearable Sensing & Mental Health,Anxiety Detection Leveraging Mobile Passive Sensing,"arXiv, 2020",https://arxiv.org/abs/2008.03810,An older but relevant paper on anxiety detection.,Nice to read,Background & Literature: Wearables + Mental Health
68.0,69.0,Priority 3: Good,1.1 Wearable Sensing & Mental Health,ML-Based IMU-to-EMG Malingering Detection with Activity Recognition,"A. M. M. R. Al-Ali et al., 2023",https://pmc.ncbi.nlm.nih.gov/articles/PMC10666012/,"Interesting, but about malingering, not anxiety.",Nice to read,Background & Literature: Wearables + Mental Health
69.0,70.0,Priority 3: Good,1.3 Model Architectures (HAR),A Lightweight Deep Learning Model for Human Activity Recognition Using a Single IMU Sensor,"M. Park et al., 2024",https://www.mdpi.com/2076-3417/15/1/88,Good if your focus is on 'lightweight' or single-sensor.,Nice to read,Methods: HAR Model Architectures (CNN/BiLSTM etc.)
70.0,71.0,Priority 3: Good,1.3 Model Architectures (HAR),Bi-AD: Bi-directional SNN-based Anomaly Detection for Real-time Wearable IMU-based HAR,"Y. Wang et al., 2025",https://arxiv.org/html/2504.03695v1,This is about Spiking Neural Networks (SNNs) - a very different architecture.,Nice to read,Methods: HAR Model Architectures (CNN/BiLSTM etc.)
71.0,72.0,Priority 3: Good,1.3 Model Architectures (HAR),HAR-fNIRS-Net: A Deep Learning-Based Model for Human Activity Recognition Using fNIRS,"A. Al-Naffakh et al., 2024",https://arxiv.org/pdf/2401.16307,"This is about fNIRS data, not IMU. Low relevance.",Nice to read,Methods: HAR Model Architectures (CNN/BiLSTM etc.)
72.0,73.0,Priority 3: Good,1.3 Model Architectures (HAR),Leveraging Large Language Models for Wearable-based Human Activity Recognition,"H. Zhu et al., 2025",https://arxiv.org/html/2502.04413,"This uses LLMs *for* HAR, which is different from your pipeline (using LLMs *after* HAR).",Nice to read,Methods: HAR Model Architectures (CNN/BiLSTM etc.)
73.0,74.0,Priority 3: Good,1.8 Multi-stage Pipeline,A Privacy-Preserving Multi-Stage Fall Detection with Wearable IMU,"Y. Liu et al., 2019",https://arxiv.org/html/2507.10474v1,"About fall detection, not anxiety. But it is a multi-stage pipeline.",Nice to read,System Architecture: Multi‑Stage HAR → RAG‑LLM Pipeline
74.0,75.0,Priority 3: Good,1.8 Multi-stage Pipeline,"Snap, Segment, Deploy: Detection Pipeline for Wearables","D. Wen et al., 2024",https://arxiv.org/html/2507.21072v1,"A pipeline for wearables, relevant.",Nice to read,System Architecture: Multi‑Stage HAR → RAG‑LLM Pipeline
75.0,91.0,Priority 3: Good,2.3 CNN vs LSTM Hybrid,IMUDiffusion: Diffusion Model for IMU Time Series,"H. Oppel & M. Munz, 2024",https://arxiv.org/abs/2411.02954,"About synthetic data generation (Diffusion). Interesting, but a side-topic.",Nice to read,Appendix / Model Comparison: CNN/LSTM/Hybrids for HAR
76.0,111.0,Priority 3: Good,1.2 Data Preprocessing Pipeline,Exploring Capabilities of LLMs for IMU-based Fine-Grained Action Recognition,"Z. Liu et al., 2025",https://arxiv.org/html/2504.02878v1,"This uses LLMs *for* HAR, different from your pipeline.",Nice to read,Methods: Data Preprocessing & Sliding Window Pipeline
77.0,77.0,Priority 1: Most Important,Cross-device generalization / Domain Shift / HAR Benchmark,Heterogeneity Human Activity Recognition Dataset,"
Stisen et al.,2015",https://archive.ics.uci.edu/dataset/344/heterogeneity+activity+recognition,"Key dataset for domain drift (different phones, sensors, users). Perfect to justify scalable MLOps pipeline with drift detection, retraining triggers, device calibration, and generalization testing.",Must read,"- Ch.2 Literature Review (benchmarks)
- Ch.5 Monitoring & Drift
- Ch.6 Evaluation (cross-device generalization)"
78.0,78.0,Priority 2: Important,Self-Supervised Learning (SSL) for IMU / HAR,Self-Supervised Human Activity Recognition Using Wearable Inertial Sensors,"Saeed et al.,2021",https://arxiv.org/pdf/2109.01118,Introduces SSL for IMU data; reduces dependency on labeled data; highly scalable approach for long-term wearable pipelines; useful for data-scarce clinical environments and pretraining before fine-tuning. Helps when adding LLM/RAG reasoning on top of embeddings.,Must read,"- Ch.3 Data Pipeline (preprocessing + augmentation)
- Ch.4 Model Design (SSL pretraining)
- Ch.5 MLOps Scalability (label scarcity + automatic training)"
79.0,79.0,Priority 3: Good,Wearable physiology for stress/anxiety monitoring,Wearable Sensors for Mental Health Monitoring: A Comprehensive Review,"Morales et al.,2022",https://www.mdpi.com/1424-8220/22/4/1347,"Covers EDA, HRV, PPG, respiration, accelerometer, and their relevance to stress/anxiety detection. Provides the ""clinical + physiological"" backbone for your thesis justification.",Nice to read,"- Ch.1 Introduction (why wearables matter)
- Ch.2 Background (sensors & physiology)
- Ch.4 Baseline Models (stress detection)"
,,,,,,,,,
,,,,,,,,,
80.0,,,,,,,,,
